Column1,Customers,Date Registered,Username,Gender,Age Range,Birth Date,Email Address,Address,Residence,Job,Employer,Salary Range,Credit Card Provider,Credit Card Number,Credit Card Security Code,Credit Card Expiry Date
0,Customer 1,10/11/2021,r**********n,M,46-55,13/05/1978,m******8@hotmail.com,p2jOIvyg6cenZ3p,fecNI41fSEx,Chief Technology Officer,HavOnDwG5,20000-100000,VISA 19 digit,NWcKAUPcks,71128,18/09/2023
1,Customer 2,17/12/2019,e*****a,F,36-45,13/01/1971,a************y@hotmail.com,m0tC2uMsVIAL4ni,jBGJH7RME7d,Data scientist,vJ9s0eJEc,20000-100000,Discover,TFAVqRf3Ev,12010,08/05/2023
2,Customer 3,19/12/2019,t*********n,M,46-55,10/01/2009,v***d@gmail.com,Fe8skiSq3tRfX5F,PMAV7bNfikF,Chief Operating Officer,Eq3ZYKBXj,180000-260000,VISA 16 digit,dHA6BqM7r8,08288,26/04/2023
3,Customer 4,18/01/2022,r*************l,F,26-35,25/09/1992,k********6@gmail.com,lDmN9nNbUWCgX08,1PBogushKDS,Counselling psychologist,3Ru7Ja9du,100000-180000,VISA 16 digit,K0DcVIQlTY,43120,04/07/2023
4,Customer 5,09/11/2020,t************n,F,56-65,05/01/1990,j******t@hotmail.com,hdsllnVX2M2x562,MGlUpkfgqEB,Mining engineer,xFYg6RiDO,100000-180000,JCB 16 digit,ncXF65a83D,37713,20/02/2023
5,Customer 6,08/03/2022,b*********s,M,46-55,30/11/1935,c***********l@hotmail.com,xABjikcw8sx2tWQ,IOLcQTnDI09,Civil Service administrator,a6wlddNS2,20000-100000,American Express,PQSsnLAYqb,23582,21/12/2022
6,Customer 7,01/10/2019,l**********e,F,56-65,24/02/1981,i*****n@gmail.com,Df9MdurFmbDH8CC,6LoQceZUb3o,Fast food restaurant manager,UlUMqMfNf,100000-180000,JCB 16 digit,UGBxTIFnqM,76335,14/07/2023
7,Customer 8,05/06/2021,k***********h,F,46-55,28/01/1924,r**********s@yahoo.com,BvjZh3XvvFRK7Kw,Ndr0Kn0fDFv,"Editor, magazine features",TqyOS7aY4,20000-100000,Diners Club / Carte Blanche,dK221Wfl95,44014,12/06/2023
8,Customer 9,05/06/2021,s****9,F,56-65,15/10/2001,m**********e@gmail.com,kDBJfOdU1w6tp8a,PHtAWA96PtG,Patent examiner,Ssm236R2G,100000-180000,VISA 19 digit,o8pAVLuYbV,55663,01/11/2022
9,Customer 10,20/07/2020,s***********h,F,18-25,11/02/1931,m*******8@gmail.com,k8BHpxkDxOjAA9A,CwJ32d3encc,Sports coach,yh4ogPOOI,20000-100000,VISA 19 digit,L1wZuNW956,05836,04/01/2023
